"","...1","gameId","playId","nflId","time","relative_location","relative_location_list","stunt","all_front","all_back"
"18",2039,"2021090900","947",41263,2021-09-10 01:00:05,2,"[2.0, 3.0, 1.0, 4.0]",1,"4","3"
"19",2209,"2021090900","1203",42403,2021-09-10 01:12:00,1,"[1.0, 2.0, 3.0]",1,"3","2"
"20",2224,"2021090900","1203",42403,2021-09-10 01:12:01,2,"[2.0, 1.0, 3.0]",1,"2","1"
"21",2666,"2021090900","1392",35441,2021-09-10 01:21:19,3,"[3.0, 1.0, 3.0, 5.0, 4.0]",1,"3","3"
"22",2909,"2021090900","1563",35441,2021-09-10 01:28:37,2,"[2.0, 5.0, 4.0, 3.0, 1.0]",1,"4","3"
"23",2939,"2021090900","1563",35441,2021-09-10 01:28:38,1,"[1.0, 5.0, 4.0, 3.0, 2.0]",1,"1","2"
"24",2994,"2021090900","1563",35441,2021-09-10 01:28:39,1,"[1.0, 5.0, 4.0, 2.0, 3.0]",1,"2","3"
"25",3091,"2021090900","1587",35441,2021-09-10 01:29:19,3,"[3.0, 5.0, 6.0, 1.0, 2.0, 4.0]",1,"3","2"
"26",3139,"2021090900","1587",35441,2021-09-10 01:29:20,3,"[3.0, 5.0, 6.0, 2.0, 1.0, 4.0]",1,"2","1"
"27",3157,"2021090900","1587",35441,2021-09-10 01:29:20,2,"[2.0, 5.0, 6.0, 3.0, 1.0, 4.0]",1,"3","2"
"28",3263,"2021090900","1687",40074,2021-09-10 01:34:45,3,"[3.0, 1.0, 2.0, 5.0, 4.0]",1,"4","5"
"29",3421,"2021090900","1726",35441,2021-09-10 01:36:24,5,"[5.0, 4.0, 2.0, 1.0, 3.0, 6.0]",1,"2","1"
"30",3476,"2021090900","1776",35441,2021-09-10 01:37:45,5,"[5.0, 6.0, 2.0, 4.0, 4.0, 1.0, 7.0]",1,"4","4"
"31",3546,"2021090900","1776",35441,2021-09-10 01:37:46,5,"[5.0, 7.0, 2.0, 4.0, 3.0, 1.0, 6.0]",1,"6","7"
"32",3553,"2021090900","1776",35441,2021-09-10 01:37:46,5,"[5.0, 7.0, 1.0, 4.0, 3.0, 2.0, 6.0]",1,"2","1"
"33",3675,"2021090900","1918",34777,2021-09-10 01:43:32,2,"[2.0, 5.0, 3.0, 4.0, 1.0]",1,"2","3"
"34",3695,"2021090900","1918",34777,2021-09-10 01:43:32,2,"[2.0, 5.0, 4.0, 3.0, 1.0]",1,"3","4"
"35",3755,"2021090900","1940",35441,2021-09-10 01:44:14,4,"[4.0, 3.0, 1.0, 2.0]",1,"4","3"
"36",3775,"2021090900","1940",35441,2021-09-10 01:44:14,4,"[4.0, 2.0, 1.0, 3.0]",1,"3","2"
"37",3875,"2021090900","2008",41263,2021-09-10 01:47:19,3,"[3.0, 4.0, 2.0, 1.0]",1,"4","3"
"38",3983,"2021090900","2032",41263,2021-09-10 01:47:42,3,"[3.0, 4.0, 2.0, 1.0]",1,"3","4"
"39",4175,"2021090900","2129",35441,2021-09-10 01:54:06,1,"[1.0, 4.0, 3.0, 2.0]",1,"1","2"
"40",4355,"2021090900","2211",35441,2021-09-10 01:56:54,3,"[3.0, 4.0, 1.0, 2.0]",1,"2","3"
"41",4455,"2021090900","2233",35441,2021-09-10 01:57:36,3,"[3.0, 4.0, 1.0, 2.0]",1,"2","3"
"42",4551,"2021090900","2257",35441,2021-09-10 01:58:03,1,"[1.0, 3.0, 4.0, 2.0]",1,"1","2"
"43",4663,"2021090900","2279",35441,2021-09-10 01:58:50,2,"[2.0, 3.0, 4.0, 2.0]",1,"2","2"
"44",5355,"2021090900","2632",35441,2021-09-10 02:25:56,3,"[3.0, 5.0, 1.0, 2.0, 4.0]",1,"2","3"
"45",5380,"2021090900","2632",35441,2021-09-10 02:25:56,3,"[3.0, 5.0, 2.0, 1.0, 4.0]",1,"2","1"
"46",5390,"2021090900","2632",35441,2021-09-10 02:25:56,4,"[4.0, 5.0, 2.0, 1.0, 3.0]",1,"3","4"
"47",5460,"2021090900","2656",34777,2021-09-10 02:26:25,2,"[2.0, 5.0, 4.0, 1.0, 3.0]",1,"2","3"
"48",5490,"2021090900","2656",34777,2021-09-10 02:26:26,2,"[2.0, 5.0, 3.0, 1.0, 4.0]",1,"3","4"
"49",5500,"2021090900","2656",34777,2021-09-10 02:26:26,3,"[3.0, 5.0, 2.0, 1.0, 4.0]",1,"3","2"
"50",5510,"2021090900","2656",34777,2021-09-10 02:26:26,4,"[4.0, 5.0, 1.0, 2.0, 4.0]",1,"2","4"
"51",5600,"2021090900","2678",34777,2021-09-10 02:27:06,4,"[4.0, 2.0, 3.0, 1.0, 5.0]",1,"2","1"
"52",5620,"2021090900","2678",34777,2021-09-10 02:27:07,5,"[5.0, 2.0, 3.0, 1.0, 4.0]",1,"4","5"
"53",5735,"2021090900","2735",34777,2021-09-10 02:28:41,1,"[1.0, 3.0, 5.0, 2.0, 4.0]",1,"4","5"
"54",5810,"2021090900","2780",34777,2021-09-10 02:29:49,5,"[5.0, 3.0, 1.0, 4.0, 2.0]",1,"1","2"
"55",5935,"2021090900","2871",41363,2021-09-10 02:35:06,3,"[3.0, 4.0, 1.0, 2.0]",1,"2","3"
"56",6041,"2021090900","2893",41363,2021-09-10 02:35:45,2,"[2.0, 3.0, 1.0, 5.0, 4.0]",1,"4","3"
"57",6171,"2021090900","2915",41263,2021-09-10 02:36:26,3,"[3.0, 1.0, 4.0, 2.0]",1,"3","4"
"58",6371,"2021090900","3062",41263,2021-09-10 02:43:13,4,"[4.0, 2.0, 3.0, 1.0]",1,"2","1"
"59",6383,"2021090900","3062",41263,2021-09-10 02:43:14,3,"[3.0, 2.0, 4.0, 1.0]",1,"3","4"
"60",6631,"2021090900","3134",42403,2021-09-10 02:45:17,3,"[3.0, 2.0, 6.0, 5.0, 1.0, 4.0]",1,"5","6"
"61",6769,"2021090900","3261",34777,2021-09-10 02:51:20,3,"[3.0, 5.0, 4.0, 1.0, 2.0]",1,"3","4"
"62",6804,"2021090900","3261",34777,2021-09-10 02:51:21,3,"[3.0, 4.0, 5.0, 1.0, 2.0]",1,"4","5"
"63",6834,"2021090900","3261",34777,2021-09-10 02:51:21,4,"[4.0, 3.0, 5.0, 1.0, 2.0]",1,"4","3"
"64",6907,"2021090900","3306",35441,2021-09-10 02:52:43,3,"[3.0, 2.0, 1.0, 4.0]",1,"3","2"
"65",7025,"2021090900","3330",35441,2021-09-10 02:53:27,1,"[1.0, 5.0, 4.0, 2.0, 3.0]",1,"2","1"
"66",7045,"2021090900","3330",35441,2021-09-10 02:53:27,1,"[1.0, 5.0, 4.0, 3.0, 2.0]",1,"3","2"
"67",7155,"2021090900","3364",35441,2021-09-10 02:54:07,3,"[3.0, 1.0, 4.0, 2.0]",1,"3","2"
"68",7167,"2021090900","3364",35441,2021-09-10 02:54:08,3,"[3.0, 2.0, 4.0, 1.0]",1,"2","1"
"69",7231,"2021090900","3406",35441,2021-09-10 02:55:31,3,"[3.0, 5.0, 6.0, 1.0, 2.0, 4.0]",1,"3","2"
"70",7237,"2021090900","3406",35441,2021-09-10 02:55:31,3,"[3.0, 4.0, 6.0, 1.0, 2.0, 5.0]",1,"4","5"
"71",7375,"2021090900","3462",41263,2021-09-10 03:00:09,5,"[5.0, 2.0, 1.0, 3.0, 4.0]",1,"2","3"
"72",7420,"2021090900","3462",41263,2021-09-10 03:00:08,5,"[5.0, 3.0, 1.0, 2.0, 4.0]",1,"3","2"
"73",7571,"2021090900","3633",44892,2021-09-10 03:07:18,2,"[2.0, 3.0, 4.0, 1.0]",1,"1","2"
"74",7654,"2021090900","3655",41263,2021-09-10 03:07:58,4,"[4.0, 1.0, 5.0, 2.0, 3.0]",1,"3","4"
"75",7684,"2021090900","3655",41263,2021-09-10 03:07:58,4,"[4.0, 2.0, 5.0, 1.0, 3.0]",1,"2","1"
"76",7744,"2021090900","3724",34777,2021-09-10 03:12:24,4,"[4.0, 1.0, 3.0, 5.0, 2.0]",1,"4","3"
"77",7799,"2021090900","3724",34777,2021-09-10 03:12:25,5,"[5.0, 1.0, 3.0, 4.0, 2.0]",1,"4","5"
"78",8075,"2021090900","3862",41263,2021-09-10 03:18:38,1,"[1.0, 4.0, 3.0, 2.0]",1,"3","4"
"79",8199,"2021090900","3909",44955,2021-09-10 03:20:23,2,"[2.0, 3.0, 1.0, 4.0]",1,"4","3"
"80",8367,"2021090900","3962",41263,2021-09-10 03:21:56,1,"[1.0, 4.0, 3.0, 2.0]",1,"3","4"
"81",8659,"2021090900","4189",35441,2021-09-10 03:28:49,4,"[4.0, 1.0, 3.0, 2.0]",1,"4","3"
"82",8839,"2021090900","4246",35441,2021-09-10 03:31:15,2,"[2.0, 1.0, 4.0, 3.0]",1,"3","2"
"83",9231,"2021090900","4538",41263,2021-09-10 03:45:00,1,"[1.0, 3.0, 4.0, 2.0]",1,"4","3"
"84",9255,"2021090900","4538",41263,2021-09-10 03:45:00,2,"[2.0, 3.0, 4.0, 1.0]",1,"2","1"
"85",9309,"2021090900","4560",41263,2021-09-10 03:45:41,2,"[2.0, 1.0, 5.0, 3.0, 4.0]",1,"2","3"
"86",9334,"2021090900","4560",41263,2021-09-10 03:45:42,2,"[2.0, 1.0, 5.0, 4.0, 3.0]",1,"3","4"
"87",9575,"2021090900","4653",41363,2021-09-10 03:47:46,3,"[3.0, 1.0, 4.0, 5.0, 2.0]",1,"3","4"
"88",9763,"2021090900","4699",41263,2021-09-10 03:48:48,2,"[2.0, 4.0, 3.0, 1.0]",1,"2","1"
"89",9771,"2021090900","4699",41263,2021-09-10 03:48:48,2,"[2.0, 4.0, 4.0, 1.0]",1,"4","4"
"90",9859,"2021090900","4728",41263,2021-09-10 03:49:33,1,"[1.0, 3.0, 4.0, 2.0]",1,"3","4"
"91",9947,"2021090900","4750",41263,2021-09-10 03:50:18,2,"[2.0, 4.0, 3.0, 1.0]",1,"2","1"
"92",9971,"2021090900","4750",41263,2021-09-10 03:50:18,2,"[2.0, 3.0, 4.0, 1.0]",1,"3","4"
"93",10075,"2021090900","4772",41263,2021-09-10 03:51:00,1,"[1.0, 5.0, 4.0, 6.0, 3.0, 2.0]",1,"5","6"
"94",10105,"2021090900","4772",41263,2021-09-10 03:51:01,1,"[1.0, 4.0, 5.0, 6.0, 3.0, 2.0]",1,"4","5"
"95",10195,"2021091200","56",35452,2021-09-12 17:06:27,3,"[3.0, 4.0, 2.0, 1.0]",1,"3","2"
"96",10903,"2021091200","303",35452,2021-09-12 17:12:01,2,"[2.0, 1.0, 3.0, 4.0]",1,"2","1"
"97",10967,"2021091200","348",35452,2021-09-12 17:12:52,1,"[1.0, 2.0, 3.0]",1,"2","3"
"98",11192,"2021091200","605",40095,2021-09-12 17:22:55,5,"[5.0, 3.0, 4.0, 1.0, 2.0]",1,"4","3"
"99",11242,"2021091200","605",40095,2021-09-12 17:22:56,5,"[5.0, 3.0, 4.0, 1.0, 3.0]",1,"3","3"
"100",11307,"2021091200","705",37089,2021-09-12 17:28:53,0,"[3.0, 5.0, 1.0, 2.0, 4.0]",2,"c(""3"", ""1"")","c(""5"", ""2"")"
"101",11583,"2021091200","821",35452,2021-09-12 17:31:55,0,"[4.0, 3.0, 2.0, 1.0]",2,"c(""4"", ""1"")","c(""3"", ""2"")"
"102",11946,"2021091200","864",35452,2021-09-12 17:33:50,2,"[2.0, 3.0, 4.0, 1.0, 5.0]",1,"4","5"
"103",12135,"2021091200","1023",35452,2021-09-12 17:38:10,1,"[1.0, 2.0, 4.0, 3.0]",1,"3","4"
"104",12311,"2021091200","1153",40095,2021-09-12 17:46:37,4,"[4.0, 2.0, 3.0, 1.0]",1,"2","1"
"105",12387,"2021091200","1182",40095,2021-09-12 17:47:17,4,"[4.0, 1.0, 2.0, 3.0]",1,"4","3"
"106",12566,"2021091200","1249",40095,2021-09-12 17:49:06,2,"[2.0, 1.0, 3.0]",1,"2","3"
"107",12871,"2021091200","1459",35452,2021-09-12 17:57:06,1,"[1.0, 4.0, 2.0, 3.0]",1,"3","4"
"108",12879,"2021091200","1459",35452,2021-09-12 17:57:06,2,"[2.0, 4.0, 1.0, 3.0]",1,"1","2"
"109",12959,"2021091200","1494",35452,2021-09-12 17:58:17,3,"[3.0, 2.0, 1.0, 4.0]",1,"3","4"
"110",12979,"2021091200","1494",35452,2021-09-12 17:58:18,3,"[3.0, 1.0, 2.0, 4.0]",1,"1","2"
"111",13201,"2021091200","1582",42497,2021-09-12 18:03:20,3,"[3.0, 4.0, 1.0, 2.0]",1,"1","2"
"112",13209,"2021091200","1582",42497,2021-09-12 18:03:20,4,"[4.0, 3.0, 1.0, 2.0]",1,"4","3"
"113",13485,"2021091200","1732",40095,2021-09-12 18:09:07,4,"[4.0, 2.0, 3.0, 5.0, 1.0]",1,"4","5"
"114",13950,"2021091200","2063",42346,2021-09-12 18:21:52,2,"[2.0, 4.0, 1.0, 3.0]",1,"2","1"
"115",14192,"2021091200","2121",42346,2021-09-12 18:23:12,2,"[2.0, 3.0, 1.0, 4.0]",1,"1","2"
"116",14299,"2021091200","2145",40039,2021-09-12 18:23:39,2,"[2.0, 1.0, 3.0, 4.0, 5.0]",1,"4","3"
"117",14339,"2021091200","2145",40039,2021-09-12 18:23:40,1,"[1.0, 2.0, 3.0, 4.0, 5.0]",1,"2","1"
"118",14668,"2021091200","2399",40095,2021-09-12 18:31:24,4,"[4.0, 1.0, 2.0, 3.0]",1,"3","2"
"119",14772,"2021091200","2631",42346,2021-09-12 18:54:09,1,"[1.0, 3.0, 2.0, 4.0]",1,"2","3"
"120",15148,"2021091200","2767",43341,2021-09-12 19:02:45,3,"[3.0, 4.0, 2.0, 1.0]",1,"4","3"
"121",15176,"2021091200","2767",43341,2021-09-12 19:02:46,2,"[2.0, 4.0, 3.0, 1.0]",1,"2","3"
"122",15349,"2021091200","2906",42346,2021-09-12 19:06:28,2,"[2.0, 3.0, 1.0, 4.0]",1,"2","1"
"123",15829,"2021091200","3110",35452,2021-09-12 19:13:06,2,"[2.0, 1.0, 3.0, 4.0]",1,"2","1"
"124",16407,"2021091200","3599",40095,2021-09-12 19:35:27,4,"[4.0, 5.0, 3.0, 1.0, 2.0]",1,"4","3"
"125",16757,"2021091200","3752",37089,2021-09-12 19:41:18,0,"[1.0, 3.0, 4.0, 2.0]",1,"1","4"
"126",17005,"2021091200","3776",37089,2021-09-12 19:41:51,0,"[2.0, 3.0, 4.0, 1.0]",2,"c(""2"", ""3"")","c(""4"", ""1"")"
"127",17294,"2021091200","3928",40039,2021-09-12 19:47:30,3,"[3.0, 1.0, 5.0, 4.0, 2.0]",1,"2","3"
"128",17334,"2021091200","3928",40039,2021-09-12 19:47:31,4,"[4.0, 1.0, 5.0, 3.0, 2.0]",1,"3","4"
"129",17705,"2021091200","4112",35452,2021-09-12 19:54:29,3,"[3.0, 4.0, 2.0, 1.0]",1,"4","3"
"130",17889,"2021091200","4240",37089,2021-09-12 19:59:55,0,"[1.0, 3.0, 2.0, 4.0]",2,"c(""3"", ""2"")","c(""1"", ""4"")"
"131",18041,"2021091200","4274",37089,2021-09-12 20:00:44,3,"[3.0, 2.0, 1.0, 4.0]",1,"4","3"
"132",18249,"2021091200","4298",37089,2021-09-12 20:01:08,3,"[3.0, 2.0, 1.0, 4.0]",1,"3","4"
"133",18417,"2021091200","4317",37089,2021-09-12 20:01:34,3,"[3.0, 4.0, 2.0, 1.0]",1,"4","3"
"134",18561,"2021091200","4346",35452,2021-09-12 20:03:23,4,"[4.0, 3.0, 1.0, 2.0]",1,"1","2"
"135",18649,"2021091201","63",35449,2021-09-12 17:06:38,4,"[4.0, 2.0, 3.0, 1.0]",1,"3","4"
"136",18733,"2021091201","111",35449,2021-09-12 17:07:45,4,"[4.0, 2.0, 3.0, 1.0]",1,"3","4"
"137",18879,"2021091201","262",35470,2021-09-12 17:15:01,5,"[5.0, 3.0, 2.0, 4.0, 1.0]",1,"2","3"
"138",19045,"2021091201","406",37104,2021-09-12 17:21:13,2,"[2.0, 1.0, 3.0, 4.0]",1,"3","4"
"139",19141,"2021091201","430",35449,2021-09-12 17:21:50,2,"[2.0, 3.0, 1.0, 4.0]",1,"3","2"
"140",19205,"2021091201","454",38548,2021-09-12 17:22:37,2,"[2.0, 3.0, 1.0, 4.0]",1,"1","2"
"141",19245,"2021091201","454",38548,2021-09-12 17:22:38,3,"[3.0, 2.0, 1.0, 4.0]",1,"2","3"
"142",19421,"2021091201","500",44842,2021-09-12 17:23:40,3,"[3.0, 4.0, 2.0, 1.0]",1,"3","4"
"143",19461,"2021091201","500",44842,2021-09-12 17:23:41,2,"[2.0, 4.0, 3.0, 1.0]",1,"2","3"
"144",19545,"2021091201","561",35449,2021-09-12 17:25:17,4,"[4.0, 2.0, 3.0, 1.0]",1,"4","3"
"145",19804,"2021091201","691",37841,2021-09-12 17:31:14,2,"[2.0, 1.0, 3.0]",1,"2","3"
"146",20241,"2021091201","901",35470,2021-09-12 17:43:04,0,"[1.0, 4.0, 3.0, 2.0]",1,"2","3"
"147",20345,"2021091201","997",35470,2021-09-12 17:49:55,4,"[4.0, 3.0, 2.0, 1.0]",1,"2","3"
"148",20559,"2021091201","1087",37104,2021-09-12 17:52:47,4,"[4.0, 3.0, 2.0, 1.0]",1,"4","3"
"149",20599,"2021091201","1087",37104,2021-09-12 17:52:48,4,"[4.0, 2.0, 3.0, 1.0]",1,"2","3"
"150",20675,"2021091201","1148",37104,2021-09-12 17:54:12,3,"[3.0, 2.0, 4.0, 1.0]",1,"2","1"
"151",20699,"2021091201","1148",37104,2021-09-12 17:54:13,2,"[2.0, 3.0, 4.0, 1.0]",1,"3","2"
"152",20703,"2021091201","1148",37104,2021-09-12 17:54:10,3,"[3.0, 1.0, 4.0, 2.0]",1,"3","2"
"153",20983,"2021091201","1300",37841,2021-09-12 18:01:39,2,"[2.0, 1.0, 3.0, 4.0]",1,"1","2"
"154",21267,"2021091201","1393",37104,2021-09-12 18:04:30,3,"[3.0, 4.0, 2.0, 1.0]",1,"2","1"
"155",21501,"2021091201","1446",35470,2021-09-12 18:08:32,2,"[2.0, 6.0, 3.0, 4.0, 1.0, 5.0, 7.0]",1,"2","1"
"156",21636,"2021091201","1486",35470,2021-09-12 18:10:18,3,"[3.0, 1.0, 2.0, 4.0]",1,"4","3"
"157",21640,"2021091201","1486",35470,2021-09-12 18:10:18,3,"[3.0, 2.0, 1.0, 4.0]",1,"2","1"
"158",21668,"2021091201","1548",35449,2021-09-12 18:14:32,0,"[1.0, 4.0, 2.0, 3.0]",2,"c(""2"", ""3"")","c(""1"", ""4"")"
"159",21892,"2021091201","1572",35449,2021-09-12 18:15:09,3,"[3.0, 2.0, 1.0, 4.0]",1,"3","2"
"160",22060,"2021091201","1629",35449,2021-09-12 18:16:36,2,"[2.0, 3.0, 4.0, 1.0]",1,"4","3"
"161",22068,"2021091201","1629",35449,2021-09-12 18:16:36,3,"[3.0, 2.0, 4.0, 1.0]",1,"3","2"
"162",22148,"2021091201","1653",37104,2021-09-12 18:17:00,0,"[4.0, 1.0, 3.0, 2.0]",1,"1","4"
"163",22324,"2021091201","1710",44842,2021-09-12 18:19:14,2,"[2.0, 3.0, 1.0, 4.0, 5.0]",1,"4","5"
"164",22354,"2021091201","1710",44842,2021-09-12 18:19:14,3,"[3.0, 2.0, 1.0, 4.0, 5.0]",1,"3","2"
"165",22436,"2021091201","1746",44842,2021-09-12 18:20:18,1,"[1.0, 3.0, 4.0, 2.0]",1,"2","3"
"166",22676,"2021091201","1870",35449,2021-09-12 18:25:53,2,"[2.0, 3.0, 4.0, 2.0]",1,"2","2"
"167",22700,"2021091201","1951",35449,2021-09-12 18:28:18,0,"[2.0, 1.0, 4.0, 3.0]",1,"3","1"
"168",23148,"2021091201","2302",35470,2021-09-12 18:51:55,2,"[2.0, 4.0, 1.0, 3.0]",1,"2","1"
"169",23152,"2021091201","2302",35470,2021-09-12 18:51:55,2,"[2.0, 3.0, 1.0, 4.0]",1,"3","4"
"170",23260,"2021091201","2362",35449,2021-09-12 18:56:11,2,"[2.0, 3.0, 4.0, 1.0]",1,"2","3"
"171",23371,"2021091201","2392",35449,2021-09-12 18:56:46,2,"[2.0, 3.0, 4.0, 1.0]",1,"2","3"
"172",23543,"2021091201","2438",35449,2021-09-12 18:58:03,4,"[4.0, 2.0, 3.0, 1.0]",1,"3","4"
"173",23607,"2021091201","2483",35449,2021-09-12 18:59:10,4,"[4.0, 3.0, 2.0, 1.0]",1,"3","4"
"174",23763,"2021091201","2547",37104,2021-09-12 19:01:13,2,"[2.0, 1.0, 3.0, 4.0]",1,"3","4"
"175",23939,"2021091201","2612",35449,2021-09-12 19:03:21,3,"[3.0, 1.0, 4.0, 2.0]",1,"2","3"
"176",24116,"2021091201","2709",37841,2021-09-12 19:08:28,6,"[6.0, 1.0, 2.0, 4.0, 3.0, 5.0]",1,"4","3"
"177",24134,"2021091201","2709",37841,2021-09-12 19:08:28,6,"[6.0, 1.0, 3.0, 4.0, 2.0, 5.0]",1,"3","2"
"178",24158,"2021091201","2709",37841,2021-09-12 19:08:29,5,"[5.0, 1.0, 3.0, 4.0, 2.0, 6.0]",1,"5","6"
"179",24164,"2021091201","2709",37841,2021-09-12 19:08:29,5,"[5.0, 2.0, 3.0, 4.0, 1.0, 6.0]",1,"2","1"
"180",24644,"2021091201","2912",37104,2021-09-12 19:17:01,2,"[2.0, 3.0, 4.0, 1.0]",1,"3","4"
"181",24816,"2021091201","2983",35449,2021-09-12 19:18:59,2,"[2.0, 1.0, 4.0, 3.0]",1,"2","3"
"182",24832,"2021091201","2983",35449,2021-09-12 19:18:59,1,"[1.0, 2.0, 4.0, 3.0]",1,"1","2"
"183",25020,"2021091201","3049",35449,2021-09-12 19:22:26,0,"[3.0, 1.0, 4.0, 2.0]",1,"2","1"
"184",25308,"2021091201","3219",43319,2021-09-12 19:30:12,3,"[3.0, 1.0, 2.0, 4.0]",1,"2","1"
"185",25668,"2021091201","3584",37104,2021-09-12 19:44:00,4,"[4.0, 1.0, 2.0, 3.0]",1,"2","1"
"186",25700,"2021091201","3584",37104,2021-09-12 19:44:01,4,"[4.0, 1.0, 3.0, 2.0]",1,"2","3"
"187",26023,"2021091201","3709",40166,2021-09-12 19:50:10,7,"[7.0, 4.0, 3.0, 2.0, 5.0, 1.0, 6.0]",1,"6","7"
"188",26116,"2021091201","3756",43319,2021-09-12 19:51:44,2,"[2.0, 4.0, 1.0, 3.0]",1,"4","3"
"189",26200,"2021091201","3799",35470,2021-09-12 19:53:09,3,"[3.0, 1.0, 4.0, 2.0]",1,"4","3"
"190",26212,"2021091201","3799",35470,2021-09-12 19:53:09,3,"[3.0, 2.0, 4.0, 1.0]",1,"1","2"
"191",26636,"2021091201","4011",35449,2021-09-12 20:00:29,3,"[3.0, 4.0, 2.0, 1.0]",1,"3","2"
"192",26664,"2021091201","4011",35449,2021-09-12 20:00:29,3,"[3.0, 4.0, 1.0, 2.0]",1,"2","1"
"193",26848,"2021091201","4074",38548,2021-09-12 20:04:28,3,"[3.0, 1.0, 4.0, 2.0]",1,"4","3"
"194",26946,"2021091201","4103",37104,2021-09-12 20:04:50,4,"[4.0, 3.0, 2.0, 1.0]",2,"c(""3"", ""1"")","c(""4"", ""2"")"
"195",27054,"2021091201","4156",35449,2021-09-12 20:06:04,1,"[1.0, 3.0, 4.0, 2.0]",1,"2","1"
"196",27146,"2021091201","4180",35449,2021-09-12 20:06:24,0,"[4.0, 1.0, 3.0, 2.0]",2,"c(""3"", ""2"")","c(""4"", ""1"")"
"197",27270,"2021091201","4209",35449,2021-09-12 20:07:00,1,"[1.0, 3.0, 2.0, 4.0]",1,"2","1"
"198",27470,"2021091201","4266",37104,2021-09-12 20:08:26,3,"[3.0, 2.0, 1.0, 4.0]",1,"2","1"
"199",27590,"2021091202","210",41341,2021-09-12 17:10:56,4,"[4.0, 1.0, 2.0, 3.0]",1,"2","1"
"200",27606,"2021091202","210",41341,2021-09-12 17:10:57,4,"[4.0, 1.0, 3.0, 2.0]",1,"3","2"
"201",27962,"2021091202","489",43791,2021-09-12 17:23:48,2,"[2.0, 5.0, 3.0, 1.0, 4.0]",1,"2","3"
"202",28012,"2021091202","489",43791,2021-09-12 17:23:49,2,"[2.0, 5.0, 4.0, 1.0, 3.0]",1,"3","4"
"203",28472,"2021091202","688",43301,2021-09-12 17:32:07,4,"[4.0, 5.0, 2.0, 3.0, 1.0]",1,"2","3"
"204",28690,"2021091202","837",43791,2021-09-12 17:39:44,2,"[2.0, 4.0, 1.0, 3.0]",1,"2","3"
"205",28890,"2021091202","957",41243,2021-09-12 17:46:32,5,"[5.0, 3.0, 4.0, 1.0, 2.0]",1,"2","1"
"206",29104,"2021091202","1113",43301,2021-09-12 17:53:10,0,"[3.0, 1.0, 4.0, 2.0]",1,"2","3"
"207",29332,"2021091202","1241",41341,2021-09-12 18:00:15,4,"[4.0, 1.0, 3.0, 2.0]",1,"4","3"
"208",29636,"2021091202","1350",46204,2021-09-12 18:04:06,1,"[1.0, 2.0, 4.0, 4.0]",1,"4","4"
"209",29644,"2021091202","1350",46204,2021-09-12 18:04:06,2,"[2.0, 2.0, 4.0, 3.0]",1,"2","2"
"210",29930,"2021091202","1497",44825,2021-09-12 18:11:10,5,"[5.0, 1.0, 4.0, 3.0, 2.0]",1,"4","3"
"211",29940,"2021091202","1497",44825,2021-09-12 18:11:10,4,"[4.0, 1.0, 5.0, 3.0, 2.0]",1,"4","5"
