"","...1","gameId","playId","playDescription","quarter","down","yardsToGo","possessionTeam","defensiveTeam","yardlineSide","yardlineNumber","gameClock","preSnapHomeScore","preSnapVisitorScore","passResult","penaltyYards","prePenaltyPlayResult","playResult","foulName1","foulNFLId1","foulName2","foulNFLId2","foulName3","foulNFLId3","absoluteYardlineNumber","offenseFormation","personnelO","defendersInBox","personnelD","dropBackType","pff_playAction","pff_passCoverage","pff_passCoverageType","('blitz', 'mean')","('blitz_class', '')","('npos_list', '')","('stunt', '')","('stunt_class', '')","('4manfront', '')","epa"
"20",19,2021090900,1078,"(14:21) (No Huddle, Shotgun) D.Prescott pass short middle to T.Pollard to DAL 12 for 5 yards (D.White).",2,2,8,"DAL","TB","DAL",7,14:21:00,7,7,"C",NA,5,5,NA,NA,NA,NA,NA,NA,17,"SHOTGUN","1 RB, 0 TE, 4 WR",5,"3 DL, 3 LB, 5 DB","TRADITIONAL",0,"Quarters","Zone",0,0,"[1, 1, 1, 1]",0,0,1,0.0574992403853685
"21",20,2021090900,1203,"(12:07) (Shotgun) T.Brady pass short middle to R.Gronkowski to DAL 43 for 5 yards (D.Lawrence).",2,2,8,"TB","DAL","DAL",48,12:07:00,7,7,"C",NA,5,5,NA,NA,NA,NA,NA,NA,58,"SHOTGUN","1 RB, 2 TE, 2 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-2","Zone",0,0,"[1, 1, 1]",1,0,0,-0.0766620878130198
"22",21,2021090900,1227,"(11:29) (Shotgun) T.Brady pass short right to C.Godwin pushed ob at DAL 24 for 19 yards (J.Kearse). Penalty on TB-R.Jensen, Taunting, offsetting. Penalty on DAL-C.Watkins, Unnecessary Roughness, offsetting.",2,3,3,"TB","DAL","DAL",43,11:29:00,7,7,"C",0,19,19,"Taunting",40151,"Unnecessary Roughness",44955,NA,NA,53,"SHOTGUN","1 RB, 2 TE, 2 WR",5,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"2-Man","Man",0,0,"[1, 1, 1, 1]",0,0,1,2.26954517501872
"23",22,2021090900,1267,"(11:13) T.Brady pass short right to C.Godwin to DAL 7 for 17 yards (A.Brown).",2,1,10,"TB","DAL","DAL",24,11:13:00,7,7,"C",NA,17,17,NA,NA,NA,NA,NA,NA,34,"SINGLEBACK","1 RB, 2 TE, 2 WR",7,"4 DL, 2 LB, 5 DB","TRADITIONAL",1,"Quarters","Zone",0,0,"[1, 1, 1, 1]",0,0,1,1.0075844990788
"24",23,2021090900,1312,"(9:53) T.Brady pass short right to R.Gronkowski for 2 yards, TOUCHDOWN.",2,2,2,"TB","DAL","DAL",2,09:53:00,7,7,"C",NA,2,2,NA,NA,NA,NA,NA,NA,12,"SINGLEBACK","1 RB, 1 TE, 3 WR",7,"4 DL, 2 LB, 5 DB","DESIGNED_ROLLOUT_RIGHT",1,"Cover-1","Man",0,0,"[1, 1, 1, 1]",0,0,1,1.11806113342755
"25",24,2021090900,1368,"(9:48) D.Prescott pass short right to C.Lamb to DAL 47 for 22 yards (D.White).",2,1,10,"DAL","TB","DAL",25,09:48:00,14,7,"C",NA,22,22,NA,NA,NA,NA,NA,NA,35,"SINGLEBACK","2 RB, 1 TE, 2 WR",7,"3 DL, 3 LB, 5 DB","TRADITIONAL",1,"Cover-3","Zone",0,0,"[1, 1, 1, 1]",0,0,1,1.27469135983847
"26",25,2021090900,1392,"(9:09) (Shotgun) D.Prescott pass incomplete short left to A.Cooper. PENALTY on TB-C.Davis, Defensive Pass Interference, 14 yards, enforced at DAL 47 - No Play.",2,1,10,"DAL","TB","DAL",47,09:09:00,14,7,"I",14,0,14,"Defensive Pass Interference",46132,NA,NA,NA,NA,57,"EMPTY","1 RB, 2 TE, 2 WR",6,"4 DL, 3 LB, 4 DB",NA,0,"Cover-1","Man",1,2,"[1, 1, 1, 1, 1]",0,0,0,1.01605562167242
"27",26,2021090900,1425,"(9:04) D.Prescott pass short right to B.Jarwin pushed ob at TB 33 for 6 yards (J.Pierre-Paul). Tampa Bay challenged the pass completion ruling, and the play was Upheld. The ruling on the field stands. (Timeout #1.)",2,1,10,"DAL","TB","TB",39,09:04:00,14,7,"C",NA,6,6,NA,NA,NA,NA,NA,NA,71,"SINGLEBACK","1 RB, 2 TE, 2 WR",7,"4 DL, 3 LB, 4 DB","SCRAMBLE_ROLLOUT_RIGHT",1,"Cover-3","Zone",0,0,"[1, 1, 1]",0,0,0,0.318234005826525
"28",27,2021090900,1506,"(8:16) (Shotgun) D.Prescott pass incomplete deep left to M.Gallup. PENALTY on TB-J.Dean, Defensive Holding, 5 yards, enforced at TB 25 - No Play.",2,1,10,"DAL","TB","TB",25,08:16:00,14,7,"I",5,0,5,"Defensive Holding",47877,NA,NA,NA,NA,85,"SHOTGUN","1 RB, 1 TE, 3 WR",7,"3 DL, 3 LB, 5 DB",NA,1,"Cover-3","Zone",0,0,"[1, 1, 1, 1]",0,0,1,0.312410388258286
"29",28,2021090900,1563,"(7:27) (Shotgun) D.Prescott pass short right to A.Cooper to TB 13 for 4 yards (R.Cockrell).",2,2,7,"DAL","TB","TB",17,07:27:00,14,7,"C",NA,4,4,NA,NA,NA,NA,NA,NA,93,"SHOTGUN","1 RB, 1 TE, 3 WR",7,"3 DL, 3 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",1,1,"[1, 1, 1, 2, 3]",1,10,0,-0.0960443239891902
"30",29,2021090900,1587,"(6:46) (Shotgun) D.Prescott pass incomplete short left to C.Lamb.",2,3,3,"DAL","TB","TB",13,06:46:00,14,7,"I",NA,0,0,NA,NA,NA,NA,NA,NA,97,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"3 DL, 3 LB, 5 DB","TRADITIONAL",0,"Cover-1","Man",1,3,"[1, 1, 1, 1, 1, 1]",1,9,0,-1.49532563285219
"31",30,2021090900,1687,"(5:43) (Shotgun) D.Prescott pass incomplete deep left to C.Lamb.",2,2,8,"DAL","TB","TB",25,05:43:00,14,7,"I",NA,0,0,NA,NA,NA,NA,NA,NA,85,"SHOTGUN","1 RB, 1 TE, 3 WR",7,"2 DL, 4 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",1,5,"[1, 1, 1, 2, 1]",1,3,0,-0.728850585233886
"32",31,2021090900,1726,"(5:37) (Shotgun) D.Prescott pass short middle to C.Wilson to TB 12 for 13 yards (A.Winfield).",2,3,8,"DAL","TB","TB",25,05:37:00,14,7,"C",NA,13,13,NA,NA,NA,NA,NA,NA,85,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"2 DL, 4 LB, 5 DB","TRADITIONAL",0,"Cover-0","Man",1,1,"[1, 1, 3, 1, 1, 1]",0,0,0,1.81060248502763
"33",32,2021090900,1776,"(4:25) (Shotgun) D.Prescott to TB 10 for -5 yards. FUMBLES, and recovers at TB 10. D.Prescott pass short left to A.Cooper for 5 yards, TOUCHDOWN.",2,2,3,"DAL","TB","TB",5,04:25:00,14,7,"C",NA,5,5,NA,NA,NA,NA,NA,NA,105,"SHOTGUN","1 RB, 1 TE, 3 WR",7,"2 DL, 4 LB, 5 DB","TRADITIONAL",0,"Cover-0","Man",1,9,"[1, 2, 1, 1, 2, 1, 1]",0,0,0,1.72903337673051
"34",33,2021090900,1918,"(3:30) (Shotgun) D.Prescott pass incomplete deep left to M.Gallup.",2,2,6,"DAL","TB","TB",17,03:30:00,14,13,"I",NA,0,0,NA,NA,NA,NA,NA,NA,93,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"3 DL, 3 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",1,1,"[1, 1, 1, 1, 3]",1,9,0,-0.693093535664957
"35",34,2021090900,1940,"(3:26) (Shotgun) D.Prescott pass incomplete short middle to C.Lamb (L.David).",2,3,6,"DAL","TB","TB",17,03:26:00,14,13,"I",NA,0,0,NA,NA,NA,NA,NA,NA,93,"EMPTY","1 RB, 1 TE, 3 WR",5,"3 DL, 3 LB, 5 DB","TRADITIONAL",0,"Quarters","Zone",0,0,"[1, 1, 1, 1]",1,4,1,-0.72344124777704
"36",35,2021090900,2008,"(3:08) (Shotgun) T.Brady pass short middle to C.Godwin to DAL 47 for 10 yards (J.Smith; J.Lewis).",2,1,10,"TB","DAL","TB",43,03:08:00,14,16,"C",NA,10,10,NA,NA,NA,NA,NA,NA,67,"EMPTY","1 RB, 1 TE, 3 WR",4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-2","Zone",0,0,"[1, 1, 1, 1]",0,0,1,0.654618851083796
"37",36,2021090900,2032,"(2:45) (No Huddle, Shotgun) T.Brady pass deep right to A.Brown for 47 yards, TOUCHDOWN.",2,1,10,"TB","DAL","DAL",47,02:45:00,14,16,"C",NA,47,47,NA,NA,NA,NA,NA,NA,57,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"2-Man","Man",0,0,"[1, 1, 1, 1]",0,0,1,4.52159954363015
"38",37,2021090900,2088,"(2:38) (Shotgun) D.Prescott pass short left to A.Cooper to DAL 36 for 11 yards (M.Edwards; J.Dean).",2,1,10,"DAL","TB","DAL",25,02:38:00,21,16,"C",NA,11,11,NA,NA,NA,NA,NA,NA,35,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"3 DL, 3 LB, 5 DB","TRADITIONAL",0,"Quarters","Zone",0,0,"[1, 1, 1, 1]",0,0,1,0.441054914961569
"39",38,2021090900,2129,"(2:00) (Shotgun) D.Prescott pass short left to M.Gallup pushed ob at DAL 44 for 8 yards (J.Dean). PENALTY on TB-J.Dean, Defensive Pass Interference, 11 yards, enforced at DAL 36 - No Play. PENALTY on TB-J.Dean, Face Mask (15 Yards), 15 yards, enforced between downs.",2,1,10,"DAL","TB","DAL",36,02:00:00,21,16,"C",26,8,11,"Defensive Pass Interference",47877,"Face Mask (15 Yards)",47877,NA,NA,46,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"3 DL, 3 LB, 5 DB",NA,0,"Quarters","Zone",0,0,"[1, 1, 1, 1]",0,0,1,1.28675177815603
"40",39,2021090900,2169,"(1:54) (Shotgun) D.Prescott pass short left to A.Cooper pushed ob at TB 31 for 7 yards (J.Dean).",2,1,10,"DAL","TB","TB",38,01:54:00,21,16,"C",NA,7,7,NA,NA,NA,NA,NA,NA,72,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"3 DL, 3 LB, 5 DB","TRADITIONAL",0,"Quarters","Zone",0,0,"[1, 1, 1, 1]",0,0,1,0.521139906311873
"41",40,2021090900,2211,"(1:50) (Shotgun) D.Prescott pass incomplete short left to M.Gallup (J.Dean).",2,2,3,"DAL","TB","TB",31,01:50:00,21,16,"I",NA,0,0,NA,NA,NA,NA,NA,NA,79,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"3 DL, 3 LB, 5 DB","TRADITIONAL",0,"Quarters","Zone",0,0,"[1, 1, 1, 1]",1,6,1,-0.395035193534568
"42",41,2021090900,2233,"(1:43) (Shotgun) D.Prescott pass short right to C.Lamb to TB 21 for 10 yards (D.White).",2,3,3,"DAL","TB","TB",31,01:43:00,21,16,"C",NA,10,10,NA,NA,NA,NA,NA,NA,79,"SHOTGUN","1 RB, 1 TE, 3 WR",7,"3 DL, 3 LB, 5 DB","TRADITIONAL",0,"Quarters","Zone",0,0,"[1, 1, 1, 1]",1,6,1,1.22085956152296
"43",42,2021090900,2257,"(1:16) (No Huddle, Shotgun) D.Prescott pass incomplete short right.",2,1,10,"DAL","TB","TB",21,01:16:00,21,16,"I",NA,0,0,NA,NA,NA,NA,NA,NA,89,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"2 DL, 4 LB, 5 DB","TRADITIONAL",0,"Quarters","Zone",0,0,"[1, 1, 1, 1]",1,2,1,-0.362832855142187
"44",43,2021090900,2279,"(1:11) (Shotgun) D.Prescott sacked at TB 33 for -12 yards (S.Barrett).",2,2,10,"DAL","TB","TB",21,01:11:00,21,16,"S",NA,-12,-12,NA,NA,NA,NA,NA,NA,89,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"2 DL, 4 LB, 5 DB","SCRAMBLE",0,"Quarters","Zone",0,0,"[1, 1, 1, 1]",0,0,1,-1.33743735635653
"45",44,2021090900,2298,"(:35) (No Huddle, Shotgun) D.Prescott scrambles up the middle to TB 29 for 4 yards (J.Tryon). PENALTY on DAL-C.Williams, Offensive Holding, 10 yards, enforced at TB 33 - No Play.",2,3,22,"DAL","TB","TB",33,00:35:00,21,16,"R",-10,4,-10,"Offensive Holding",46119,NA,NA,NA,NA,77,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"3 DL, 3 LB, 5 DB",NA,0,"Quarters","Zone",0,0,"[1, 1, 1, 1]",0,0,1,-0.866530849365517
"46",45,2021090900,2330,"(:28) (Shotgun) D.Prescott scrambles left end pushed ob at TB 42 for 1 yard (S.Barrett; W.Gholston). TB-W.Gholston was injured during the play. His return is Questionable.",2,3,32,"DAL","TB","TB",43,00:28:00,21,16,"R",NA,1,1,NA,NA,NA,NA,NA,NA,67,"EMPTY","1 RB, 1 TE, 3 WR",5,"3 DL, 3 LB, 5 DB","SCRAMBLE",0,"Quarters","Zone",0,0,"[1, 1, 1, 1]",0,0,1,-0.418921963451476
"47",46,2021090900,2397,"(:15) (Shotgun) T.Brady pass incomplete deep right to G.Bernard.",2,1,10,"TB","DAL",NA,50,00:15:00,21,16,"I",NA,0,0,NA,NA,NA,NA,NA,NA,60,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"2-Man","Man",0,0,"[1, 1]",0,0,0,-0.278438091656426
"48",47,2021090900,2419,"(:09) (Shotgun) T.Brady pass incomplete short right to T.Johnson [M.Parsons].",2,2,10,"TB","DAL",NA,50,00:09:00,21,16,"I",NA,0,0,NA,NA,NA,NA,NA,NA,60,"SHOTGUN","1 RB, 0 TE, 4 WR",4,"2 DL, 2 LB, 7 DB","TRADITIONAL",0,"Prevent","Other",0,0,"[1, 1, 1]",0,0,0,-0.1151717431203
"49",48,2021090900,2441,"(:06) (Shotgun) T.Brady pass deep right INTERCEPTED by J.Lewis at DAL -8. J.Lewis to TB 42 for 66 yards (A.Marpet).",2,3,10,"TB","DAL",NA,50,00:06:00,21,16,"IN",NA,0,0,NA,NA,NA,NA,NA,NA,60,"SHOTGUN","1 RB, 1 TE, 3 WR",4,"2 DL, 2 LB, 7 DB","TRADITIONAL",0,"Prevent","Other",0,0,"[1, 1, 1]",0,0,0,-0.33335861080559
"50",49,2021090900,2530,"(14:57) (Shotgun) D.Prescott pass short left to D.Schultz to DAL 30 for 5 yards (M.Edwards). TB-M.Edwards was injured during the play. His return is Questionable.",3,2,10,"DAL","TB","DAL",25,14:57:00,21,16,"C",NA,5,5,NA,NA,NA,NA,NA,NA,35,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"3 DL, 3 LB, 5 DB","TRADITIONAL",0,"Cover-2","Zone",1,1,"[1, 1, 1, 3]",0,0,0,-0.0131111145019531
"51",50,2021090900,2554,"(14:27) (Shotgun) D.Prescott pass short right to A.Cooper pushed ob at DAL 46 for 16 yards (J.Dean) [N.Suh].",3,3,5,"DAL","TB","DAL",30,14:27:00,21,16,"C",NA,16,16,NA,NA,NA,NA,NA,NA,40,"SHOTGUN","1 RB, 1 TE, 3 WR",7,"3 DL, 4 LB, 4 DB","TRADITIONAL",0,"Cover-3","Zone",1,2,"[1, 1, 1, 1, 1]",0,0,0,2.29085537744686
"52",51,2021090900,2632,"(12:44) (Shotgun) D.Prescott pass short middle to A.Cooper to TB 34 for 14 yards (A.Adams).",3,3,4,"DAL","TB","TB",48,12:44:00,21,16,"C",NA,14,14,NA,NA,NA,NA,NA,NA,62,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"3 DL, 3 LB, 5 DB","TRADITIONAL",0,"Bracket","Other",1,5,"[1, 1, 1, 1, 2]",1,9,0,1.94502845651004
"53",52,2021090900,2656,"(12:14) (No Huddle, Shotgun) D.Prescott pass incomplete short right to M.Gallup (C.Davis).",3,1,10,"DAL","TB","TB",34,12:14:00,21,16,"I",NA,0,0,NA,NA,NA,NA,NA,NA,76,"SHOTGUN","1 RB, 1 TE, 3 WR",7,"3 DL, 3 LB, 5 DB","TRADITIONAL",0,"Cover-2","Zone",1,5,"[1, 1, 1, 2, 1]",1,0,0,-0.517136805923656
"54",53,2021090900,2678,"(12:10) (Shotgun) D.Prescott pass incomplete deep middle to B.Jarwin. PENALTY on TB-A.Adams, Defensive Pass Interference, 16 yards, enforced at TB 34 - No Play.",3,2,10,"DAL","TB","TB",34,12:10:00,21,16,"I",16,0,16,"Defensive Pass Interference",43757,NA,NA,NA,NA,76,"SHOTGUN","1 RB, 1 TE, 3 WR",6,"3 DL, 3 LB, 5 DB",NA,0,"Quarters","Zone",1,5,"[1, 1, 1, 2, 1]",0,0,0,1.70353887596866
"55",54,2021090900,2735,"(11:26) (Shotgun) D.Prescott pass short left to A.Cooper to TB 8 for 4 yards (R.Cockrell) [A.Adams].",3,2,4,"DAL","TB","TB",12,11:26:00,21,16,"C",NA,4,4,NA,NA,NA,NA,NA,NA,98,"SHOTGUN","1 RB, 1 TE, 3 WR",7,"3 DL, 3 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",1,1,"[1, 1, 1, 1, 3]",0,0,0,0.415493636392057
"56",55,2021090900,2780,"(10:32) D.Prescott pass short right to E.Elliott ran ob at TB 2 for 3 yards [S.Barrett].",3,2,5,"DAL","TB","TB",5,10:32:00,21,16,"C",NA,3,3,NA,NA,NA,NA,NA,NA,105,"SINGLEBACK","1 RB, 2 TE, 2 WR",8,"4 DL, 3 LB, 4 DB","DESIGNED_ROLLOUT_RIGHT",1,"Red Zone","Other",1,5,"[1, 1, 1, 1, 2]",1,2,0,-0.288038995116949
"57",56,2021090900,2871,"(9:08) (Shotgun) T.Brady pass incomplete short left to C.Godwin.",3,1,10,"TB","DAL","TB",33,09:08:00,21,19,"I",NA,0,0,NA,NA,NA,NA,NA,NA,77,"EMPTY","1 RB, 1 TE, 3 WR",4,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-1","Man",0,0,"[1, 1, 1, 1]",1,5,1,-0.546663202811033
"58",57,2021090900,2893,"(9:04) (Shotgun) T.Brady pass incomplete short middle to C.Godwin.",3,2,10,"TB","DAL","TB",33,09:04:00,21,19,"I",NA,0,0,NA,NA,NA,NA,NA,NA,77,"EMPTY","1 RB, 1 TE, 3 WR",6,"4 DL, 2 LB, 5 DB","TRADITIONAL",0,"Cover-3","Zone",1,2,"[1, 1, 1, 1, 1]",1,9,0,-0.802008291240782
